account_id,customer_id,account_type,open_date
134,9116,Savings,2024-12-13
135,3623,Savings,2023-11-14
136,7077,Savings,2023-03-28
137,316,Savings,2023-11-20
138,4767,Savings,2024-07-09
139,4794,Credit,2025-06-15
140,1377,Credit,2025-04-10
141,2816,Current,2025-12-26
142,1263,Credit,2024-02-27
143,9320,Current,2024-05-09
144,2926,Current,2024-07-15
145,9245,Current,2025-08-09
146,3469,Current,2024-01-05
147,4022,Savings,2025-05-22
148,4410,Savings,2025-11-09
149,548,Credit,2024-03-17
150,4892,Savings,2024-01-09
151,3524,Savings,2024-02-29
152,7043,Current,2024-10-27
153,9722,Credit,2025-08-03
154,5606,Current,2025-10-30
155,107,Savings,2023-07-18
156,9049,Current,2023-05-15
157,2985,Credit,2025-05-07
158,5469,Current,2023-03-18
159,5853,Savings,2024-07-26
160,1251,Current,2023-08-30
161,6740,Savings,2025-07-21
162,6133,Credit,2023-04-03
163,1612,Current,2024-11-09
164,7929,Current,2025-01-10
165,1791,Current,2024-10-19
166,7218,Credit,2023-01-08
167,868,Savings,2025-01-28
168,2770,Savings,2025-05-22
169,328,Savings,2024-01-07
170,3817,Current,2025-04-07
171,3149,Current,2023-01-20
172,6777,Current,2024-09-17
173,2556,Current,2023-12-27
174,9323,Savings,2025-12-03
175,4337,Savings,2025-05-10
176,2483,Savings,2025-02-04
177,3100,Current,2025-06-15
178,9749,Credit,2023-04-06
179,5787,Current,2023-06-04
180,6733,Savings,2023-04-13
181,7986,Savings,2023-06-24
182,6055,Credit,2025-01-02
183,569,Savings,2025-05-12
184,1655,Savings,2024-11-22
185,7133,Savings,2024-12-03
186,3734,Current,2025-07-29
187,3230,Savings,2024-01-18
188,6812,Savings,2024-12-28
189,8343,Current,2025-01-31
190,1796,Savings,2024-04-17
191,6540,Savings,2023-06-06
192,8541,Current,2023-01-26
193,6215,Credit,2024-05-10
194,8589,Savings,2024-06-03
195,6146,Savings,2024-04-09
196,2610,Savings,2024-08-05
197,9351,Current,2025-06-24
198,8338,Credit,2025-11-17
199,2227,Savings,2023-06-27
200,8456,Savings,2023-06-27
201,5931,Savings,2025-05-30
202,6843,Savings,2025-06-13
203,3081,Savings,2025-01-08
204,988,Credit,2025-08-23
205,9540,Current,2025-02-03
206,1361,Savings,2024-01-27
207,7051,Credit,2023-09-19
208,7547,Savings,2024-04-27
209,1727,Savings,2025-09-30
210,908,Credit,2024-03-20
211,9376,Savings,2024-05-18
212,2825,Credit,2025-06-22
213,9451,Current,2024-07-28
214,8026,Credit,2023-03-09
215,8391,Current,2025-12-04
216,9249,Savings,2025-10-20
217,2456,Credit,2024-12-29
218,5209,Savings,2025-11-23
219,7775,Current,2025-11-22
220,3366,Current,2025-08-23
221,9453,Current,2024-02-02
222,5280,Current,2024-10-08
223,5952,Credit,2023-09-30
224,9506,Credit,2024-09-22
225,6698,Credit,2023-02-01
226,8770,Savings,2024-09-09
227,6677,Credit,2025-01-30
228,1021,Current,2023-01-13
229,3845,Credit,2024-07-20
230,3574,Credit,2023-10-06
231,5443,Savings,2025-12-27
232,7915,Savings,2023-03-05
233,6059,Credit,2024-09-16
234,7952,Savings,2023-01-22
235,8803,Current,2024-09-28
236,8521,Credit,2023-04-11
237,547,Savings,2025-08-27
238,8531,Credit,2025-01-24
239,3182,Credit,2025-10-20
240,8999,Savings,2024-03-30
241,9226,Current,2023-06-15
242,3988,Savings,2023-03-10
243,3334,Current,2023-09-12
244,2741,Savings,2025-07-16
245,4902,Credit,2023-01-22
246,9889,Savings,2025-02-23
247,5709,Current,2024-08-28
248,2083,Current,2023-05-10
249,4653,Savings,2025-07-26
250,9878,Credit,2025-10-30
251,4587,Credit,2023-06-29
252,9796,Current,2025-06-13
253,261,Current,2023-03-14
254,3797,Current,2024-02-13
255,5983,Current,2025-07-01
256,501,Savings,2025-12-27
257,1016,Current,2023-03-16
258,8106,Current,2023-04-02
259,7665,Current,2023-08-26
260,3964,Savings,2024-12-05
261,5319,Savings,2023-08-10
262,2707,Current,2025-07-31
263,6136,Savings,2023-06-30
264,5782,Savings,2023-02-11
265,2100,Savings,2024-06-30
266,6387,Current,2024-01-25
267,5339,Credit,2025-10-02
268,2566,Credit,2023-01-10
269,8301,Savings,2024-10-04
270,5017,Savings,2023-05-25
271,8258,Credit,2023-09-03
272,3082,Credit,2024-06-29
273,4298,Savings,2023-09-27
274,5914,Credit,2024-07-03
275,2949,Savings,2025-08-10
276,8406,Current,2023-04-03
277,6212,Savings,2023-09-10
278,1041,Credit,2025-09-18
279,7989,Current,2023-04-12
280,7474,Savings,2023-07-15
281,7560,Current,2024-12-25
282,988,Savings,2025-10-23
283,3196,Savings,2024-07-30
284,5100,Savings,2024-08-14
285,504,Current,2025-07-11
286,5345,Savings,2024-06-19
287,8948,Current,2024-01-28
288,9534,Current,2023-10-08
289,8149,Current,2025-10-28
290,6011,Savings,2024-04-12
291,1382,Savings,2023-05-02
292,5603,Savings,2024-05-04
293,7013,Savings,2025-11-04
294,3727,Current,2023-05-01
295,1888,Credit,2023-06-01
296,9516,Savings,2024-09-22
297,3810,Current,2024-06-26
298,2132,Savings,2025-07-12
299,2425,Savings,2023-07-17
300,5440,Current,2024-06-04
301,5475,Current,2024-12-13
302,9201,Credit,2025-01-21
303,1318,Current,2024-08-07
304,6648,Savings,2023-11-16
305,3217,Current,2024-03-31
306,17,Credit,2023-12-27
307,4671,Current,2023-04-15
308,9995,Credit,2025-03-10
309,2624,Savings,2025-05-31
310,130,Credit,2025-05-02
311,1474,Savings,2025-02-16
312,9142,Current,2024-04-01
313,9261,Current,2024-01-10
314,4312,Savings,2024-01-02
315,9816,Credit,2024-03-15
316,2896,Savings,2025-03-21
317,2737,Savings,2023-10-31
318,5099,Credit,2024-05-31
319,1947,Savings,2023-01-29
320,5560,Savings,2024-11-11
321,8809,Current,2023-07-06
322,301,Current,2024-12-31
323,9177,Credit,2024-05-03
324,4502,Current,2023-02-20
325,8353,Credit,2024-03-20
326,5915,Credit,2025-09-30
327,5672,Current,2024-05-01
328,8218,Savings,2025-08-09
329,83,Current,2025-01-24
330,8365,Savings,2024-05-02
331,999,Savings,2025-02-03
332,5805,Current,2024-08-28
333,6938,Credit,2025-10-23
334,3142,Savings,2024-07-26
335,2883,Savings,2025-05-10
336,7363,Savings,2025-01-26
337,3085,Savings,2023-04-07
338,2046,Savings,2023-07-09
339,8953,Current,2024-07-05
340,205,Savings,2023-02-27
341,5285,Savings,2023-10-30
342,1553,Credit,2023-01-09
343,7817,Current,2024-02-17
344,825,Savings,2025-02-20
345,3749,Current,2024-04-17
346,5579,Savings,2025-11-16
347,5913,Credit,2024-05-12
348,7391,Savings,2023-02-05
349,5198,Credit,2024-07-02
350,9031,Credit,2024-04-29
351,4696,Current,2025-12-23
352,6769,Savings,2024-09-24
353,3684,Credit,2024-12-10
354,1962,Savings,2024-04-13
355,938,Savings,2023-09-26
356,7596,Savings,2024-12-15
357,425,Current,2025-10-12
358,3052,Savings,2023-01-14
359,2906,Credit,2024-10-05
360,2695,Savings,2023-10-09
361,3596,Credit,2025-07-27
362,1268,Savings,2025-08-17
363,422,Savings,2024-03-18
364,3267,Savings,2024-05-28
365,7018,Credit,2025-12-29
366,9850,Savings,2025-09-30
367,2101,Current,2025-04-09
368,7130,Savings,2024-08-06
369,8096,Credit,2024-04-27
370,8877,Savings,2025-03-28
371,2227,Savings,2025-09-05
372,4389,Current,2024-08-03
373,2423,Savings,2025-05-27
374,7227,Savings,2024-01-04
375,9270,Savings,2024-07-05
376,7317,Current,2025-07-03
377,2844,Savings,2023-03-04
378,4112,Savings,2023-09-18
379,5660,Current,2023-05-04
380,1904,Savings,2025-10-22
381,4225,Current,2024-08-29
382,4980,Current,2023-12-09
383,5364,Credit,2023-12-31
384,426,Savings,2024-03-27
385,2402,Current,2025-02-05
386,8942,Savings,2024-11-15
387,7249,Savings,2024-07-04
388,44,Current,2025-10-04
389,6299,Savings,2023-10-30
390,5043,Savings,2024-10-14
391,1560,Current,2024-08-15
392,6036,Savings,2024-04-18
393,7072,Savings,2023-05-03
394,4195,Savings,2023-10-01
395,3952,Savings,2025-05-05
396,148,Savings,2024-04-22
397,2171,Savings,2025-12-07
398,8304,Savings,2025-05-12
399,5119,Current,2023-01-11
400,7156,Savings,2025-08-11
401,7298,Current,2025-09-08
402,4164,Credit,2023-05-19
403,8027,Savings,2025-10-28
404,9020,Savings,2024-07-06
405,9945,Current,2023-03-18
406,8068,Savings,2023-09-08
407,2940,Current,2023-01-18
408,5728,Savings,2024-04-11
409,8065,Savings,2025-10-06
410,3617,Savings,2023-03-13
411,5406,Savings,2025-07-08
412,7286,Savings,2025-06-22
413,8352,Savings,2024-09-07
414,5881,Savings,2025-10-19
415,1014,Current,2023-10-10
416,8744,Savings,2023-11-24
417,7392,Credit,2023-03-18
418,1176,Savings,2024-03-14
419,9356,Savings,2023-10-12
420,5248,Savings,2025-07-13
421,7519,Current,2023-03-09
422,6291,Current,2025-04-28
423,1309,Savings,2024-01-15
424,9685,Savings,2025-06-15
425,9434,Credit,2025-06-01
426,4828,Credit,2023-03-03
427,5265,Savings,2025-04-21
428,1778,Current,2025-11-09
429,60,Savings,2025-07-27
430,9826,Savings,2025-08-24
431,6987,Current,2025-03-29
432,7861,Current,2023-02-02
433,8528,Savings,2023-01-05
434,9023,Credit,2023-11-24
435,1593,Current,2023-12-18
436,4381,Savings,2025-02-26
437,6098,Savings,2023-11-29
438,6459,Savings,2025-12-15
439,9152,Savings,2024-01-11
440,5718,Current,2025-05-13
441,4167,Savings,2024-08-28
442,6489,Savings,2023-07-21
443,8158,Credit,2025-06-12
444,9314,Credit,2023-07-12
445,5420,Current,2023-09-27
446,9291,Current,2024-06-06
447,8335,Current,2025-10-07
448,1047,Current,2025-09-19
449,9261,Savings,2023-01-27
450,7637,Savings,2023-11-30
451,4188,Current,2023-01-15
452,3341,Savings,2024-12-05
453,6178,Savings,2024-09-16
454,4774,Current,2024-11-23
455,3436,Savings,2023-11-07
456,7301,Savings,2024-03-24
457,6903,Savings,2023-03-12
458,5800,Savings,2023-08-03
459,966,Credit,2024-04-28
460,7445,Current,2024-02-11
461,9372,Credit,2023-02-21
462,6679,Savings,2024-06-05
463,501,Current,2023-09-16
464,4555,Current,2024-06-06
465,50,Savings,2023-05-30
466,9162,Savings,2025-03-06
467,988,Current,2023-12-16
468,6772,Credit,2024-04-17
469,1116,Credit,2025-08-28
470,3933,Savings,2024-04-18
471,9672,Savings,2024-09-28
472,4435,Current,2023-08-02
473,3568,Savings,2024-04-13
474,1659,Savings,2023-02-23
475,7945,Savings,2023-06-18
476,5801,Savings,2024-12-05
477,4377,Savings,2025-05-16
478,8018,Current,2024-11-28
479,2816,Credit,2025-03-17
480,971,Savings,2024-02-02
481,7821,Savings,2024-12-15
482,5513,Current,2023-05-01
483,208,Savings,2023-03-15
484,260,Credit,2025-07-14
485,5026,Savings,2025-09-30
486,4359,Credit,2025-04-04
487,8975,Savings,2025-04-13
488,505,Credit,2024-09-26
489,9766,Current,2024-10-30
490,1760,Credit,2025-12-23
491,7515,Current,2023-07-03
492,7761,Current,2024-07-22
493,3795,Current,2023-02-18
494,3591,Current,2024-12-18
495,6971,Credit,2025-09-04
496,9594,Savings,2024-01-19
497,8981,Savings,2025-11-14
498,6286,Savings,2025-10-20
499,3330,Savings,2024-01-22
500,4013,Credit,2024-07-29
501,2093,Savings,2023-07-14
502,2968,Current,2025-11-04
503,9262,Current,2025-05-29
504,1676,Credit,2024-04-21
505,4397,Current,2025-02-07
506,288,Savings,2023-03-05
507,786,Credit,2024-11-28
508,2317,Savings,2025-02-15
509,2839,Current,2024-06-19
510,7230,Savings,2024-11-14
511,8138,Savings,2024-08-09
512,8119,Credit,2023-07-21
513,1266,Current,2025-07-30
514,2984,Savings,2024-12-19
515,5902,Current,2023-08-08
516,7932,Savings,2024-03-21
517,8144,Savings,2025-01-19
518,8031,Current,2023-11-10
519,8263,Current,2023-10-24
520,612,Credit,2024-10-08
521,7229,Current,2023-08-09
522,3524,Current,2024-07-13
523,5513,Savings,2023-12-02
524,3703,Savings,2024-11-24
525,5425,Savings,2024-03-29
526,8383,Credit,2025-03-17
527,9940,Savings,2023-08-20
528,1629,Savings,2024-08-18
529,7908,Current,2025-03-12
530,3373,Savings,2023-06-05
531,8209,Credit,2025-07-09
532,9790,Savings,2025-04-21
533,9259,Current,2025-11-11
534,3140,Savings,2025-07-07
535,2260,Savings,2023-07-18
536,2251,Credit,2024-12-03
537,6122,Current,2024-12-29
538,8182,Savings,2023-02-20
539,284,Savings,2025-11-16
540,5726,Savings,2025-05-06
541,7919,Savings,2025-07-18
542,5238,Savings,2024-08-05
543,8795,Current,2024-11-23
544,9556,Savings,2023-12-30
545,4076,Savings,2023-04-20
546,6163,Current,2023-07-07
547,7637,Savings,2025-09-20
548,5738,Current,2025-07-31
549,8993,Current,2025-05-10
550,8952,Savings,2025-04-05
551,8003,Savings,2024-12-12
552,7073,Savings,2024-12-25
553,1494,Current,2025-02-13
554,9007,Current,2025-05-05
555,373,Current,2023-03-14
556,5588,Credit,2024-08-15
557,7072,Current,2023-03-16
558,2892,Current,2025-01-26
559,6587,Savings,2025-01-26
560,7624,Savings,2025-09-11
561,3320,Savings,2025-12-13
562,3968,Current,2025-12-01
563,823,Savings,2024-04-26
564,222,Current,2023-01-14
565,6881,Current,2024-05-04
566,9580,Savings,2024-12-18
567,3889,Current,2024-11-02
568,5301,Savings,2023-05-22
569,3271,Savings,2023-11-13
570,4694,Current,2025-07-06
571,7567,Current,2024-03-23
572,3994,Savings,2023-12-14
573,2599,Savings,2024-02-29
574,1667,Savings,2024-04-29
575,4758,Savings,2024-04-10
576,1555,Credit,2023-04-03
577,6116,Savings,2025-11-21
578,5438,Credit,2025-04-13
579,6242,Credit,2024-09-14
580,9273,Savings,2025-07-11
581,88,Savings,2025-07-21
582,7116,Current,2025-09-29
583,2704,Savings,2025-12-13
584,2419,Current,2024-09-07
585,4148,Savings,2023-05-19
586,1748,Savings,2023-10-20
587,8233,Savings,2025-10-31
588,39,Savings,2023-01-19
589,7044,Current,2023-02-17
590,2152,Credit,2023-12-25
591,3938,Savings,2025-01-26
592,6887,Savings,2024-08-30
593,209,Savings,2023-08-17
594,600,Savings,2023-08-14
595,8797,Current,2024-11-08
596,3710,Current,2023-09-27
597,7727,Savings,2024-04-27
598,214,Current,2025-06-15
599,5724,Current,2024-05-07
600,6553,Savings,2024-12-08
601,9769,Current,2023-09-14
602,6239,Savings,2024-10-27
603,8461,Current,2023-01-01
604,2409,Savings,2025-08-27
605,7973,Savings,2023-01-19
606,4779,Current,2023-10-15
607,823,Current,2023-05-29
608,6101,Current,2025-11-09
609,2596,Savings,2024-09-24
610,8118,Current,2025-08-18
611,3954,Savings,2023-04-04
612,3832,Current,2023-01-17
613,4584,Current,2025-07-24
614,6236,Savings,2025-09-21
615,8843,Savings,2023-02-03
616,7984,Credit,2025-02-24
617,6501,Current,2025-01-03
618,5852,Credit,2025-01-31
619,1635,Savings,2023-05-19
620,4815,Current,2025-02-07
621,1168,Current,2024-07-03
622,4077,Current,2023-07-18
623,8391,Current,2023-11-14
624,6959,Savings,2024-06-04
625,5443,Current,2024-03-10
626,9548,Current,2025-08-26
627,6361,Savings,2024-03-06
628,6700,Savings,2023-01-07
629,3506,Current,2025-01-23
630,803,Savings,2023-11-21
631,7628,Savings,2023-03-26
632,8893,Current,2023-12-09
633,503,Savings,2025-05-06
634,5826,Savings,2025-08-19
635,7940,Current,2024-06-18
636,6033,Savings,2023-10-12
637,7407,Current,2023-07-22
638,4720,Savings,2024-11-24
639,7749,Credit,2023-04-13
640,2871,Savings,2024-08-19
641,4759,Savings,2025-11-12
642,5969,Current,2024-02-08
643,9611,Savings,2024-02-04
644,1099,Current,2025-09-13
645,3170,Current,2024-02-23
646,383,Current,2023-11-02
647,7791,Savings,2024-03-16
648,3941,Credit,2023-10-10
649,9586,Savings,2023-11-06
650,7453,Savings,2023-06-22
651,6453,Savings,2023-02-28
652,9845,Current,2024-11-24
653,4272,Credit,2023-11-15
654,4324,Savings,2023-02-16
655,2039,Credit,2024-02-28
656,5462,Current,2023-11-03
657,8064,Savings,2024-05-25
658,1986,Current,2024-05-17
659,1263,Savings,2025-07-07
660,5732,Credit,2024-03-31
661,5117,Current,2023-02-17
662,9904,Savings,2024-07-22
663,350,Credit,2024-02-05
664,441,Savings,2025-08-29
665,2809,Credit,2024-07-13
666,2563,Savings,2024-06-06
667,3153,Current,2023-09-09
668,9577,Current,2023-12-16
669,8480,Current,2025-08-08
670,9190,Savings,2024-12-01
671,2334,Credit,2023-03-24
672,9615,Savings,2025-01-18
673,74,Savings,2025-01-30
674,9655,Savings,2023-01-12
675,7545,Current,2024-02-06
676,6950,Savings,2023-03-31
677,2206,Current,2025-02-15
678,8622,Credit,2025-12-05
679,1472,Credit,2023-01-26
680,3482,Savings,2024-05-31
681,7539,Current,2024-01-21
682,3181,Savings,2023-06-08
683,1731,Credit,2023-12-02
684,36,Credit,2024-07-04
685,1021,Credit,2024-05-22
686,5535,Current,2025-08-06
687,7162,Savings,2023-02-28
688,8010,Savings,2024-01-05
689,3118,Savings,2023-11-12
690,2536,Savings,2023-12-26
691,4715,Credit,2023-07-16
692,8338,Savings,2025-05-26
693,4964,Credit,2025-03-07
694,6092,Credit,2023-03-09
695,1027,Credit,2023-08-10
696,3666,Current,2025-04-04
697,1287,Savings,2025-05-31
698,2847,Savings,2024-01-03
699,8513,Current,2024-12-01
700,7775,Savings,2024-01-18
701,2294,Savings,2024-11-17
702,1613,Current,2024-03-17
703,477,Credit,2025-02-07
704,7427,Credit,2024-09-08
705,8975,Savings,2023-08-01
706,1948,Credit,2025-12-20
707,3332,Current,2025-10-11
708,5261,Current,2025-09-14
709,6067,Savings,2023-06-27
710,7648,Current,2023-04-27
711,5470,Current,2023-12-28
712,1594,Current,2023-09-01
713,9940,Savings,2024-12-14
714,7705,Credit,2024-11-17
715,6155,Credit,2025-09-30
716,257,Credit,2024-12-19
717,6513,Savings,2024-04-12
718,2992,Savings,2024-07-05
719,1418,Savings,2025-09-26
720,7761,Current,2023-04-20
721,7966,Credit,2025-01-18
722,4115,Savings,2024-07-26
723,8302,Credit,2025-07-25
724,2553,Current,2024-05-14
725,9250,Savings,2025-11-06
726,5408,Savings,2025-11-28
727,4734,Savings,2024-01-03
728,2043,Current,2025-11-02
729,2182,Savings,2024-11-04
730,4493,Current,2023-06-23
731,3559,Current,2024-08-29
732,9814,Savings,2025-05-16
733,3659,Savings,2023-08-26
734,2695,Current,2024-11-01
735,3885,Savings,2025-06-28
736,4781,Credit,2023-04-04
737,3285,Current,2025-01-22
738,5953,Savings,2024-08-05
739,7518,Current,2023-03-22
740,6163,Current,2024-05-26
741,5107,Savings,2025-08-04
742,2167,Savings,2025-08-21
743,4398,Current,2025-09-27
744,7669,Savings,2025-02-07
745,3393,Savings,2025-04-18
746,3712,Current,2024-11-04
747,5880,Current,2024-04-24
748,1587,Credit,2025-10-07
749,9407,Savings,2025-07-04
750,7139,Savings,2024-12-26
751,7663,Current,2024-12-29
752,7405,Current,2025-07-28
753,9838,Current,2023-11-29
754,9543,Savings,2024-05-28
755,8557,Savings,2023-01-24
756,3940,Current,2024-08-23
757,3200,Current,2024-10-27
758,9819,Savings,2023-11-15
759,9838,Savings,2025-05-02
760,6942,Credit,2023-08-10
761,982,Credit,2025-04-03
762,3553,Savings,2023-07-06
763,922,Savings,2023-11-15
764,3659,Savings,2024-07-19
765,3996,Savings,2024-07-21
766,7065,Savings,2024-12-03
767,5053,Savings,2025-07-20
768,5407,Current,2024-11-03
769,4278,Current,2025-05-07
770,1475,Credit,2024-05-01
771,7099,Current,2023-01-20
772,3768,Savings,2025-07-16
773,6720,Savings,2025-08-22
774,8595,Credit,2024-07-02
775,9340,Credit,2025-09-30
776,613,Savings,2024-05-03
777,7287,Savings,2024-05-16
778,9806,Credit,2023-07-17
779,3018,Savings,2023-01-02
780,4789,Savings,2024-06-29
781,9927,Credit,2025-11-09
782,7103,Credit,2025-07-19
783,3202,Current,2024-04-14
784,753,Savings,2023-03-19
785,7557,Current,2023-05-08
786,1342,Current,2024-07-26
787,8697,Current,2023-09-09
788,7015,Savings,2024-11-05
789,6756,Credit,2023-09-11
790,3483,Savings,2023-06-23
791,7729,Savings,2024-08-22
792,5566,Savings,2024-06-20
793,7612,Current,2024-10-20
794,7931,Current,2025-05-04
795,6518,Current,2024-10-13
796,2423,Savings,2023-10-12
797,8866,Credit,2024-07-10
798,5986,Savings,2023-02-07
799,6948,Savings,2023-04-26
800,8785,Current,2025-07-01
801,7636,Savings,2025-08-02
802,3669,Current,2025-11-05
803,6463,Savings,2025-05-10
804,3139,Savings,2025-12-27
805,4510,Savings,2025-07-12
806,2501,Savings,2025-01-24
807,2794,Savings,2025-12-27
808,4294,Savings,2023-10-12
809,9905,Current,2025-12-30
810,5400,Savings,2023-11-13
811,300,Current,2023-12-14
812,1907,Current,2025-05-26
813,2486,Credit,2025-11-08
814,7460,Credit,2025-09-12
815,8399,Savings,2025-02-19
816,6121,Savings,2025-07-21
817,8486,Current,2025-09-07
818,1874,Current,2025-09-19
819,6103,Savings,2023-04-25
820,6173,Current,2023-10-29
821,6323,Current,2023-02-14
822,2089,Current,2023-11-11
823,7638,Current,2025-03-27
824,5312,Savings,2025-10-20
825,6488,Savings,2023-06-17
826,9965,Savings,2024-10-24
827,6881,Savings,2023-10-14
828,4722,Credit,2025-03-27
829,3427,Savings,2025-12-28
830,529,Savings,2023-07-09
831,1925,Savings,2025-02-24
832,6461,Current,2024-09-06
833,5977,Current,2023-07-29
834,6022,Current,2024-01-30
835,9553,Credit,2025-12-06
836,863,Savings,2023-08-01
837,4321,Savings,2025-07-03
838,3495,Current,2025-09-22
839,6053,Credit,2024-10-03
840,8260,Savings,2024-06-17
841,1643,Savings,2024-09-14
842,9213,Current,2024-06-18
843,5197,Savings,2025-03-20
844,7000,Savings,2024-06-10
845,7323,Credit,2025-01-25
846,3144,Savings,2025-06-16
847,1471,Current,2023-07-20
848,5679,Savings,2023-03-07
849,1383,Savings,2024-08-30
850,5397,Current,2025-10-30
851,9529,Savings,2025-04-10
852,7115,Current,2025-03-18
853,9435,Savings,2023-06-10
854,1706,Savings,2025-08-26
855,5998,Savings,2025-10-30
856,6064,Credit,2024-09-19
857,7963,Savings,2025-07-18
858,8097,Savings,2024-05-07
859,2595,Savings,2023-09-28
860,9872,Current,2025-11-10
861,1316,Savings,2023-08-20
862,8140,Credit,2025-09-19
863,8760,Credit,2024-02-24
864,2705,Savings,2024-04-22
865,9941,Savings,2023-03-06
866,5726,Credit,2023-07-29
867,4692,Savings,2025-04-16
868,8840,Credit,2025-03-19
869,125,Savings,2023-03-04
870,9730,Savings,2025-05-18
871,5098,Credit,2024-05-27
872,4808,Savings,2025-07-22
873,1971,Savings,2024-06-01
874,2763,Current,2025-09-07
875,5518,Credit,2024-04-05
876,815,Savings,2023-03-05
877,3102,Credit,2023-06-10
878,1655,Current,2024-04-10
879,132,Credit,2024-05-15
880,8423,Current,2023-05-18
881,395,Current,2024-01-18
882,7320,Credit,2025-08-13
883,3574,Savings,2025-07-29
884,9174,Credit,2023-06-14
885,7107,Savings,2023-01-15
886,9125,Savings,2025-02-13
887,5626,Current,2023-03-22
888,9602,Savings,2024-05-20
889,4629,Current,2023-10-30
890,5061,Current,2023-06-29
891,7748,Savings,2023-01-10
892,6270,Savings,2024-12-04
893,6633,Current,2023-04-22
894,6756,Credit,2023-04-16
895,6590,Credit,2024-03-05
